timestamp,session_duration_s,frames_processed,avg_fps,frames_with_face,detection_rate_pct,det_latency_avg_ms,det_latency_min_ms,det_latency_max_ms,e2e_latency_avg_ms,e2e_latency_min_ms,e2e_latency_max_ms,alerts_fired,identities_seen
2026-03-24 16:16:02,57.57,995,17.28,321,32.26,32.97,0.0,750.22,66.31,66.31,66.31,1,"{'Unknown': 369, 'Dr Mohsen': 6}"
2026-03-24 16:36:15,66.68,842,12.63,250,29.69,53.65,6.01,754.72,277.71,277.71,277.71,1,"{'Unknown': 255, 'Dr Mohsen': 11}"
2026-03-24 16:40:04,51.8,497,9.59,223,44.87,58.8,2.14,897.46,0.0,0,0,0,{'Unknown': 279}
2026-03-24 19:42:34,143.84,2577,17.92,530,20.57,40.87,12.91,784.95,93.93,64.6,177.5,4,"{'Unknown': 521, 'Dr Mohsen': 76}"
2026-03-24 21:48:57,28.81,239,8.3,82,34.31,40.82,14.72,173.75,69.63,69.63,69.63,1,"{'Unknown': 98, 'Dr Mohsen': 42}"
2026-03-24 21:50:53,46.43,572,12.32,230,40.21,41.5,14.56,164.98,133.01,73.86,182.72,3,"{'Unknown': 294, 'Dr Mohsen': 53}"
2026-03-24 22:18:14,74.54,1133,15.2,814,71.84,45.3,15.24,186.06,89.3,28.53,185.64,4,"{'Unknown': 1209, 'Dr Mohsen': 103}"
2026-03-24 22:27:08,21.22,157,7.4,0,0.0,31.64,11.68,75.27,0.0,0,0,0,{}
2026-03-24 22:27:59,20.2,94,4.65,0,0.0,40.75,15.11,118.33,0.0,0,0,0,{}
2026-03-24 22:29:45,47.05,539,11.46,225,41.74,50.88,13.19,223.97,77.75,77.75,77.75,1,"{'Unknown': 227, 'Dr Mohsen': 26}"
2026-03-24 22:31:23,36.4,399,10.96,59,14.79,40.45,15.81,208.67,173.28,173.28,173.28,1,"{'Unknown': 117, 'Dr Mohsen': 2}"
2026-03-24 22:34:32,108.28,812,7.5,570,70.2,94.27,15.76,3142.02,377.34,51.12,1317.65,4,"{'Unknown': 852, 'Dr Mohsen': 36}"
2026-03-24 22:37:39,46.51,559,12.02,224,40.07,46.3,14.01,221.92,133.08,70.46,195.71,2,"{'Unknown': 186, 'Dr Mohsen': 40}"
2026-03-24 22:44:07,72.23,1038,14.37,807,77.75,46.04,13.55,207.58,135.67,29.39,233.2,5,"{'Unknown': 875, 'Dr Mohsen': 114}"
2026-04-14 15:18:46,40.5,4582,113.13,0,0.0,0.0,0.0,0.0,0.0,0,0,0,{}
2026-04-14 15:24:54,17.18,1385,80.63,0,0.0,0.0,0.0,0.0,0.0,0,0,0,{}
2026-04-14 15:39:53,11.51,602,52.28,0,0.0,0.0,0.0,0.0,0.0,0,0,0,{}
2026-04-14 15:44:03,22.38,1929,86.19,0,0.0,0.0,0.0,0.0,0.0,0,0,0,{}
2026-04-14 15:51:20,59.55,5116,85.91,4147,81.06,1114.66,0.0,2541.03,706.95,5.52,1629.83,8,"{'Unknown': 2384, 'Dr Mohsen': 3654}"
2026-04-14 16:06:03,79.02,8595,108.77,6265,72.89,930.49,0.0,1874.82,833.25,57.6,1592.62,11,"{'Dr Mohsen': 5534, 'Unknown': 1279}"
2026-04-14 22:27:24,21.89,2155,98.45,0,0.0,0.0,0.0,0.0,0.0,0,0,0,{}
2026-04-14 22:30:44,8.42,110,13.06,0,0.0,0.0,0.0,0.0,0.0,0,0,0,{}
2026-04-14 22:34:30,111.37,12206,109.6,10842,88.83,153.45,0.0,329.74,165.04,8.22,269.28,12,"{'Unknown': 12925, 'Marshall': 426, 'Rohan': 770, 'Mike': 452, 'Kevin': 1234}"
2026-04-14 22:45:46,182.16,22608,124.11,16296,72.08,583.77,0.0,3035.13,263.88,5.01,856.33,14,"{'Unknown': 13870, 'Mike': 1055, 'Kevin': 1603, 'Rohan': 1129, 'Marshall': 1948}"
2026-04-14 22:53:11,83.47,4454,53.36,4347,97.6,635.79,0.0,1330.08,365.31,4.0,843.66,10,"{'Unknown': 9551, 'Rohan': 1894, 'Marshall': 173}"
2026-04-14 23:04:50,174.93,8955,51.19,8834,98.65,622.29,0.0,1220.53,222.12,4.51,678.13,20,"{'Unknown': 19936, 'Rohan': 1805, 'Marshall': 674, 'Kevin': 308, 'Mike': 912}"
2026-04-14 23:08:04,24.14,1024,42.43,973,95.02,46.37,0.0,366.22,24.62,6.52,33.14,4,"{'Unknown': 1768, 'Rohan': 733}"
2026-04-14 23:09:49,16.82,33,1.96,33,100.0,438.64,219.24,765.59,0.0,0,0,0,{'Unknown': 66}
2026-04-14 23:10:45,9.53,463,48.57,365,78.83,507.55,0.0,1138.67,21.19,21.19,21.19,1,"{'Unknown': 744, 'Rohan': 147}"
2026-04-15 00:35:01,8.04,323,40.18,0,0.0,0.0,0.0,0.0,0.0,0,0,0,{}
2026-04-15 00:37:00,3.89,179,46.03,0,0.0,33.34,0.0,75.6,0.0,0,0,0,{}
2026-04-15 00:42:45,4.15,176,42.43,0,0.0,12.57,0.0,31.74,0.0,0,0,0,{}
2026-04-15 00:47:28,2.6,105,40.34,0,0.0,6.34,0.0,18.07,0.0,0,0,0,{}
2026-04-15 00:57:38,32.23,1600,49.65,1471,91.94,1140.91,0.0,2113.1,697.98,8.53,1699.29,4,"{'Unknown': 3169, 'Rohan': 505}"
2026-04-15 01:04:06,18.98,895,47.16,826,92.29,992.96,0.0,2176.31,40.95,40.95,40.95,1,"{'Unknown': 2071, 'Rohan': 67}"
2026-04-15 01:13:39,23.33,1068,45.78,962,90.07,851.86,0.0,2199.24,201.04,0.0,799.78,650.06,0.0,1398.46,577.77,577.77,577.77,1,"{'Unknown': 2433, 'Rohan': 73}"
2026-04-15 01:29:12,80.41,3873,48.16,3687,95.2,86.98,0.0,2668.48,37.67,0.0,2636.14,48.17,0.0,115.52,34.63,7.52,64.14,10,"{'Unknown': 8256, 'Rohan': 1750, 'Marshall': 5}"
2026-04-15 01:31:41,32.26,1577,48.89,1431,90.74,947.2,0.0,2327.03,178.44,0.0,1776.51,768.01,0.0,1734.55,424.49,22.09,840.09,5,"{'Unknown': 2422, 'Rohan': 1112}"
2026-04-15 01:38:27,39.14,1875,47.91,1726,92.05,212.56,0.0,2333.02,165.87,117.83,2285.64,63.71,22.02,114.51,78.96,20.63,164.82,7,"{'Unknown': 3175, 'Rohan': 1514}"
2026-04-15 01:43:52,91.02,4319,47.45,4176,96.69,120.05,0.0,1751.76,64.64,37.53,1704.02,58.24,20.76,114.99,38.09,20.88,75.31,11,"{'Unknown': 8627, 'Rohan': 1745, 'Marshall': 103}"
2026-04-15 01:48:57,183.16,8923,48.72,8867,99.37,72.42,0.0,150.98,9.21,6.51,53.65,62.71,21.02,114.11,18.4,4.0,119.17,19,"{'Unknown': 22698, 'Rohan': 673, 'Marshall': 97, 'Kevin': 251, 'Mike': 106}"
